機械棟2階入口,きかいとうにかいいりぐち　きかいとう2かいいりぐち,2F 機械棟,74.6,-135.5,2,
放電加工実習室,ほうでんかこうじっしゅうしつ,2F 機械棟,81.5,-140,2,レーザー加工や、ワイヤー放電の実習で使います
材料試験実習室,ざいりょうしけんじっしゅうしつ,2F 機械棟,81.5,-132,2,木材やコンクリートなどの強度を調べる部屋です
エネルギー実習室,えねるぎーじっしゅうしつ,2F 機械棟,80,-140,2,流体や水力に関する実習で使います
機械計測実習室,きかいけいそくじっしゅうしつ,2F 機械棟,80.5,-132,2,ノギスやマイクロメーターなどを使って計測を行う部屋です
電子顕微鏡室,でんしけんびきょうしつ,2F 機械棟,79.5,-132,2,電子顕微鏡が置いてある部屋です
電子機械基礎実習室,でんしきかいきそじっしゅうしつ,2F 機械棟,78.3,-140,2,レゴブロックを用いた実習や、生産システム研究部の活動で使います
生産システム実習室,せいさんしすてむじっしゅうしつ,2F 機械棟,77,-140,2,課題研究や、生産システム研究部が使います
仕上げ組み立て実習室,しあげくみたてじっしゅうしつ,2F 機械棟,78,-132,2,機械の組み立てを行います。定時制が使用します
工業技術基礎実習室,こうぎょうぎじゅつきそじっしゅうしつ,2F 機械棟,77,-132,2,定時制が使用します
電子回路実習室(機械棟),でんしかいろじっしゅうしつ (きかい),2F 機械棟,76,-140,2,電子回路の実習を行う部屋です
材料・油室,ざいりょう・ゆしつ,2F 機械棟,76,-132,2,実習で使う材料や、切削油などが置いてあります
倉庫(機械棟) 2F,そうこ (きかい) 2F,2F 機械棟,75.3,-132,2,倉庫です
電気棟2階入口,でんきとうにかいいりぐち　でんきとう2かいいりぐち,2F 電気棟,74.6,-112.5,2,
電子計測実習室,でんしけいそくじっしゅうしつ,2F 電気棟,81,-115,2,シーケンス制御実習で使用されます
光ファイバー実習室,ひかりふぁいばーじっしゅうしつ,2F 電気棟,80,-117,2,主に有線通信の実習で使用されます
課題研究室(電気棟),かだいけんきゅうしつ(でんき),2F 電気棟,81,-108,2,さまざまな用途で使用されます
遮音室,しゃおんしつ,2F 電気棟,80.3,-110,2,周りからの音を遮断する部屋です
防音室,ぼうおんしつ,2F 電気棟,80.3,-107,2,中からの音を遮断することができる部屋です
マルチメディア応用実習室,まるちめでぃあおうようじっしゅうしつ,2F 電気棟,79.7,-108,2,写真編集などで使われるMACがおいてある部屋です
自動制御実習室,じどうせいぎょじっしゅうしつ,2F 電気棟,78.6,-116,2,シーケンス制御実習で使われる部屋です
ハードウェア実習室,はーどうぇあじっしゅうしつ,2F 電気棟,78.6,-108,2,プログラミング実習を行う部屋です
情報通信実習室,じょうほうつうしんじっしゅうしつ,2F 電気棟,77.7,-115.5,2,電波暗室用の測定機器が置いてあります
暗室,あんしつ,2F 電気棟,77.7,-118.5,2,面接指導に使われたりします
電波暗室,でんぱあんしつ,2F 電気棟,77,-117,2,電波測定実習用の小さな部屋です
電子制御実習室,でんしせいぎょじっしゅうしつ,2F 電気棟,76,-116,2,シーケンス制御実習を行う部屋です
ネットワーク実習室,ねっとわーくじっしゅうしつ,2F 電気棟,77,-108,2,AI画像解析を行う高性能なPCがある部屋です
コンピュータ応用実習室,こんぴゅーたおうようじっしゅうしつ,2F 電気棟,76,-108,2,定時制が使うPC室です
建築棟2階入口,けんちくとうにかいいりぐち　けんちくとう2かいいりぐち,2F　建築棟,74.6,-86.5,2,
測量器具室,そくりょうきぐしつ,2F 建築棟,79.7,-90,2,測量で使う器具が保管されています
プロダクト実習室,ぷろだくとじっしゅうしつ,2F 建築棟,78.5,-90,2,建物の内外装を計画する部屋です
デザイン実習室,でざいんじっしゅうしつ,2F 建築棟,77,-90,2,建物のデザインの作製をする部屋です
屋内測量実習室,おくないそくりょうじっしゅうしつ,2F 建築棟,79,-82,2,測量の実習を行う部屋です
模型標本実習室,もけいひょうほんじっしゅうしつ,2F 建築棟,77,-82,2,模型の作製を行う部屋です
デッサン室,でっさんしつ,2F 建築棟,76,-90,2,線画を描く部屋です
構造材料実習室,こうぞうざいりょうじっしゅうしつ,2F 建築棟,76,-82,2,日照や騒音、温度などの理科的な要因について考える実習を行う部屋です
環境棟2階入口,かんきょうとうにかいいりぐち　かんきょうとう2かいいりぐち,2F 環境棟,74.6,-63.5,2,
発電実習室,はつでんじっしゅうしつ,2F 環境棟,81.7,-67,2,発電システムの実習で使用します
コージェネレーション実習室,こーじぇねれーしょんじっしゅうしつ,2F 環境棟,81,-67,2,トイレや水回りの設備の実習で使われます
空調(冷暖房)実習室,くうちょう(れいだんぼう)じっしゅうしつ,2F 環境棟,80,-67,2,空調設備の実習で使われます
管工事実習室,かんこうじじっしゅうしつ,2F 環境棟,81.5,-59,2,配管工事の実習で使われます
衛生設備実習室,えいせいせつびじっしゅうしつ,2F 環境棟,80.1,-59,2,トイレや水回りの設備の実習で使われます
環境整備計画実習室,かんきょうせいびけいかくじっしゅうしつ,2F 環境棟,79,-59,2,実習の計画を立てる際に使われます
電気工事実習室(環境棟),でんきこうじじっしゅうしつ(かんきょう),2F 環境棟,78.7,-67,2,第二種電気工事士の技能試験の練習で使われます
計画設計室,けいかくせっけいしつ,2F 環境棟,78,-68,2,設計案を考える際に使われます
模型標本室,もけいひょうほんしつ,2F 環境棟,78,-59,2,建物の模型の製作や、展示をしておいたりしている部屋です
計画設計実習室,けいかくせっけいじっしゅうしつ,2F 環境棟,77,-67,2,制作した計画をもとに設計を行う部屋です
土質実習室,どしつじっしゅうしつ,2F 環境棟,77,-59,2,土質を検査する際に使われます
課題研究室(環境棟),かだいけんきゅうしつ(かんきょう),2F 環境棟,76.1,-67,2,課題研究で使われます
測量実習室,そくりょうじっしゅうしつ,2F 環境棟,75.9,-59,2,測量の実習で使われます
実習準備室(環境棟),じっしゅうじゅんびしつ,2F 環境棟,75.5,-67,2,環境系の先生の職員室です
多目的室③,たもくてきしつ 3,2F 教室棟,71,-123,2,進学類型の授業や、委員会の集まりで使われます
多目的室④,たもくてきしつ 4,2F 教室棟,71,-117,2,進学類型の授業や、委員会の集まりで使われます
201教室,にぜろいちきょうしつ きかいか A 2ねん 2年 にねん 機械科A きA 機械A,2F 教室棟 機械科A 2年,71.0,-108.0,2,
202教室,にぜろにきょうしつ きかいか B 2ねん 2年 にねん 機械科B きB 機械B,2F 教室棟 機械科B 2年,71.0,-102.0,2,
203教室,にぜろさんきょうしつ でんしきかいか 2ねん 2年 にねん 電子機械科,2F 教室棟 電子機械科 2年,71.0,-96.0,2,
